"","item1","support"
"1","children=0",0.61642905634759
"2","children=1",0.38357094365241
"3","contraceptive.method=1",0.427019687712152
"4","contraceptive.method=2",0.226069246435845
"5","contraceptive.method=3",0.346911065852003
"6","husband.edu=1",0.0298710115410726
"7","husband.edu=2",0.120841819416158
"8","husband.edu=3",0.238968092328581
"9","husband.edu=4",0.610319076714189
"10","husband.occu=1",0.295994568906993
"11","husband.occu=2",0.288526816021724
"12","husband.occu=3",0.397148676171079
"13","husband.occu=4",0.0183299389002037
"14","media.expo=0",0.926001357773252
"15","media.expo=1",0.0739986422267481
"16","stand.living=1",0.0875763747454175
"17","stand.living=2",0.155465037338764
"18","stand.living=3",0.292600135777325
"19","stand.living=4",0.464358452138493
"20","wife.age=0",0.529531568228106
"21","wife.age=1",0.470468431771894
"22","wife.edu=1",0.103190767141887
"23","wife.edu=2",0.226748133061779
"24","wife.edu=3",0.278343516632722
"25","wife.edu=4",0.391717583163612
"26","wife.religion=0",0.149355057705363
"27","wife.religion=1",0.850644942294637
"28","wife.working=0",0.25050916496945
"29","wife.working=1",0.74949083503055
