"","item1","item2","item3","item4","support"
"1","class=not_recom","finance=convenient","health=not_recom","housing=convenient",0.0555555555555556
"2","class=not_recom","finance=convenient","health=not_recom","housing=critical",0.0555555555555556
"3","class=not_recom","finance=convenient","health=not_recom","housing=less_conv",0.0555555555555556
"4","class=not_recom","finance=convenient","health=not_recom","parents=great_pret",0.0555555555555556
"5","class=not_recom","finance=convenient","health=not_recom","parents=pretentious",0.0555555555555556
"6","class=not_recom","finance=convenient","health=not_recom","parents=usual",0.0555555555555556
"7","class=not_recom","finance=convenient","health=not_recom","social=nonprob",0.0555555555555556
"8","class=not_recom","finance=convenient","health=not_recom","social=problematic",0.0555555555555556
"9","class=not_recom","finance=convenient","health=not_recom","social=slightly_prob",0.0555555555555556
"10","class=not_recom","finance=inconv","health=not_recom","housing=convenient",0.0555555555555556
"11","class=not_recom","finance=inconv","health=not_recom","housing=critical",0.0555555555555556
"12","class=not_recom","finance=inconv","health=not_recom","housing=less_conv",0.0555555555555556
"13","class=not_recom","finance=inconv","health=not_recom","parents=great_pret",0.0555555555555556
"14","class=not_recom","finance=inconv","health=not_recom","parents=pretentious",0.0555555555555556
"15","class=not_recom","finance=inconv","health=not_recom","parents=usual",0.0555555555555556
"16","class=not_recom","finance=inconv","health=not_recom","social=nonprob",0.0555555555555556
"17","class=not_recom","finance=inconv","health=not_recom","social=problematic",0.0555555555555556
"18","class=not_recom","finance=inconv","health=not_recom","social=slightly_prob",0.0555555555555556
"19","class=not_recom","health=not_recom","housing=convenient","parents=great_pret",0.037037037037037
"20","class=not_recom","health=not_recom","housing=convenient","parents=pretentious",0.037037037037037
"21","class=not_recom","health=not_recom","housing=convenient","parents=usual",0.037037037037037
"22","class=not_recom","health=not_recom","housing=convenient","social=nonprob",0.037037037037037
"23","class=not_recom","health=not_recom","housing=convenient","social=problematic",0.037037037037037
"24","class=not_recom","health=not_recom","housing=convenient","social=slightly_prob",0.037037037037037
"25","class=not_recom","health=not_recom","housing=critical","parents=great_pret",0.037037037037037
"26","class=not_recom","health=not_recom","housing=critical","parents=pretentious",0.037037037037037
"27","class=not_recom","health=not_recom","housing=critical","parents=usual",0.037037037037037
"28","class=not_recom","health=not_recom","housing=critical","social=nonprob",0.037037037037037
"29","class=not_recom","health=not_recom","housing=critical","social=problematic",0.037037037037037
"30","class=not_recom","health=not_recom","housing=critical","social=slightly_prob",0.037037037037037
"31","class=not_recom","health=not_recom","housing=less_conv","parents=great_pret",0.037037037037037
"32","class=not_recom","health=not_recom","housing=less_conv","parents=pretentious",0.037037037037037
"33","class=not_recom","health=not_recom","housing=less_conv","parents=usual",0.037037037037037
"34","class=not_recom","health=not_recom","housing=less_conv","social=nonprob",0.037037037037037
"35","class=not_recom","health=not_recom","housing=less_conv","social=problematic",0.037037037037037
"36","class=not_recom","health=not_recom","housing=less_conv","social=slightly_prob",0.037037037037037
"37","class=not_recom","health=not_recom","parents=great_pret","social=nonprob",0.037037037037037
"38","class=not_recom","health=not_recom","parents=great_pret","social=problematic",0.037037037037037
"39","class=not_recom","health=not_recom","parents=great_pret","social=slightly_prob",0.037037037037037
"40","class=not_recom","health=not_recom","parents=pretentious","social=nonprob",0.037037037037037
"41","class=not_recom","health=not_recom","parents=pretentious","social=problematic",0.037037037037037
"42","class=not_recom","health=not_recom","parents=pretentious","social=slightly_prob",0.037037037037037
"43","class=not_recom","health=not_recom","parents=usual","social=nonprob",0.037037037037037
"44","class=not_recom","health=not_recom","parents=usual","social=problematic",0.037037037037037
"45","class=not_recom","health=not_recom","parents=usual","social=slightly_prob",0.037037037037037
