"","rules","support","confidence"
"1","persons=2 => class=unacc","0.333333333333333","1"
"2","safety=low => class=unacc","0.333333333333333","1"
"3","buying=vhigh => class=unacc","0.208333333333333","0.833333333333333"
"4","maint=vhigh => class=unacc","0.208333333333333","0.833333333333333"
"5","lug_boot=big,persons=2 => class=unacc","0.111111111111111","1"
"6","lug_boot=big,safety=low => class=unacc","0.111111111111111","1"
"7","lug_boot=med,persons=2 => class=unacc","0.111111111111111","1"
"8","lug_boot=med,safety=low => class=unacc","0.111111111111111","1"
"9","lug_boot=small,persons=2 => class=unacc","0.111111111111111","1"
"10","lug_boot=small,safety=low => class=unacc","0.111111111111111","1"
"11","persons=2,safety=high => class=unacc","0.111111111111111","1"
"12","persons=2,safety=low => class=unacc","0.111111111111111","1"
"13","persons=2,safety=med => class=unacc","0.111111111111111","1"
"14","persons=4,safety=low => class=unacc","0.111111111111111","1"
"15","persons=more,safety=low => class=unacc","0.111111111111111","1"
