"","rules","support","confidence"
"1","class=not_recom => health=not_recom","0.333333333333333","1"
"2","health=not_recom => class=not_recom","0.333333333333333","1"
"3","class=not_recom,finance=convenient => health=not_recom","0.166666666666667","1"
"4","finance=convenient,health=not_recom => class=not_recom","0.166666666666667","1"
"5","class=not_recom,finance=inconv => health=not_recom","0.166666666666667","1"
"6","finance=inconv,health=not_recom => class=not_recom","0.166666666666667","1"
"7","class=not_recom,housing=convenient => health=not_recom","0.111111111111111","1"
"8","health=not_recom,housing=convenient => class=not_recom","0.111111111111111","1"
"9","class=not_recom,housing=critical => health=not_recom","0.111111111111111","1"
"10","health=not_recom,housing=critical => class=not_recom","0.111111111111111","1"
"11","class=not_recom,housing=less_conv => health=not_recom","0.111111111111111","1"
"12","health=not_recom,housing=less_conv => class=not_recom","0.111111111111111","1"
"13","class=not_recom,parents=great_pret => health=not_recom","0.111111111111111","1"
"14","health=not_recom,parents=great_pret => class=not_recom","0.111111111111111","1"
"15","class=not_recom,parents=pretentious => health=not_recom","0.111111111111111","1"
"16","health=not_recom,parents=pretentious => class=not_recom","0.111111111111111","1"
"17","class=not_recom,parents=usual => health=not_recom","0.111111111111111","1"
"18","health=not_recom,parents=usual => class=not_recom","0.111111111111111","1"
"19","class=not_recom,social=nonprob => health=not_recom","0.111111111111111","1"
"20","health=not_recom,social=nonprob => class=not_recom","0.111111111111111","1"
"21","class=not_recom,social=problematic => health=not_recom","0.111111111111111","1"
"22","health=not_recom,social=problematic => class=not_recom","0.111111111111111","1"
"23","class=not_recom,social=slightly_prob => health=not_recom","0.111111111111111","1"
"24","health=not_recom,social=slightly_prob => class=not_recom","0.111111111111111","1"
